Date,BTCUSDT Close,ETHUSDT Close,ADAUSDT Close,SOLUSDT Close,SHIBUSDT Close,DOGEUSDT Close
2021-01-01,29278.40000000,744.82000000,0.18292000,1.60290000,,0.00497810
2021-01-02,29351.95000000,730.39000000,0.17501000,1.86140000,,0.00663380
2021-01-03,32573.87000000,772.37000000,0.17446000,1.94620000,,0.01083230
2021-01-04,33505.16000000,1021.41000000,0.22316000,2.30940000,,0.01107600
2021-01-05,31200.00000000,1001.76000000,0.21297000,2.19270000,,0.00911220
2021-01-06,34117.59000000,1075.49000000,0.26540000,1.98930000,,0.01004130
2021-01-07,37454.48000000,1213.17000000,0.33827000,2.17550000,,0.01019420
2021-01-08,38347.10000000,1150.10000000,0.28236000,2.26190000,,0.00939100
2021-01-09,40211.59000000,1226.53000000,0.30778000,3.16380000,,0.01018980
2021-01-10,40316.64000000,1310.97000000,0.32621000,3.52650000,,0.01029310
2021-01-11,35438.23000000,1104.14000000,0.27740000,3.13760000,,0.00909310
2021-01-12,34984.96000000,1088.52000000,0.28654000,3.27080000,,0.00857100
2021-01-13,33818.50000000,1046.72000000,0.28371000,3.51280000,,0.00792750
2021-01-14,37045.13000000,1096.39000000,0.30444000,3.38440000,,0.00845500
2021-01-15,38700.00000000,1219.07000000,0.31759000,3.32780000,,0.00940800
2021-01-16,36532.92000000,1179.34000000,0.30858000,3.45300000,,0.00932110
2021-01-17,36177.00000000,1241.20000000,0.37574000,3.71270000,,0.00924540
2021-01-18,35106.25000000,1194.07000000,0.37203000,3.76070000,,0.00903490
2021-01-19,36465.30000000,1321.50000000,0.36349000,3.96100000,,0.00913740
2021-01-20,35062.49000000,1344.03000000,0.35554000,3.54470000,,0.00895810
2021-01-21,34571.09000000,1326.50000000,0.36911000,3.53000000,,0.00886060
2021-01-22,30943.40000000,1160.73000000,0.32363000,3.15870000,,0.00820630
2021-01-23,32365.01000000,1231.67000000,0.34989000,3.42260000,,0.00858320
2021-01-24,32480.05000000,1293.33000000,0.34850000,3.55550000,,0.00862990
2021-01-25,33568.18000000,1426.91000000,0.36001000,3.54690000,,0.00878950
2021-01-26,31518.66000000,1312.80000000,0.33726000,3.73280000,,0.00823840
2021-01-27,31800.86000000,1309.00000000,0.33207000,3.84380000,,0.00810150
2021-01-28,31404.25000000,1287.59000000,0.32549000,3.73190000,,0.00785300
2021-01-29,33733.58000000,1320.82000000,0.33837000,3.78750000,,0.08328730
2021-01-30,33273.36000000,1342.71000000,0.34089000,3.82860000,,0.03203300
2021-01-31,33930.21000000,1357.49000000,0.35981000,4.32400000,,0.02798290
2021-02-01,33573.97000000,1316.92000000,0.34577000,4.21860000,,0.03748320
2021-02-02,33550.32000000,1368.79000000,0.40843000,4.80680000,,0.03271130
2021-02-03,36403.47000000,1539.57000000,0.43451000,5.10360000,,0.03320820
2021-02-04,37498.78000000,1645.84000000,0.43123000,5.91100000,,0.03844770
2021-02-05,37366.02000000,1639.99000000,0.48300000,6.84510000,,0.04627580
2021-02-06,39384.74000000,1682.19000000,0.53176000,6.14570000,,0.04612800
2021-02-07,38841.46000000,1626.53000000,0.64252000,5.90170000,,0.05710700
2021-02-08,38076.06000000,1581.46000000,0.64341000,6.64590000,,0.06609920
2021-02-09,46599.51000000,1735.04000000,0.68395000,8.32800000,,0.08205140
2021-02-10,46221.07000000,1809.45000000,0.77363000,8.30960000,,0.07018050
2021-02-11,44582.07000000,1721.86000000,0.88301000,8.94890000,,0.07245000
2021-02-12,47587.31000000,1764.57000000,0.88859000,9.42420000,,0.06276920
2021-02-13,47829.22000000,1863.87000000,0.93479000,9.39410000,,0.06963010
2021-02-14,47267.21000000,1809.03000000,0.87239000,8.90880000,,0.06441630
2021-02-15,47120.30000000,1727.64000000,0.80493000,8.11480000,,0.05329230
2021-02-16,49624.03000000,1822.00000000,0.87982000,8.90370000,,0.05933290
2021-02-17,49657.38000000,1753.61000000,0.84459000,7.71250000,,0.05374370
2021-02-18,52032.64000000,1891.99000000,0.90837000,8.45990000,,0.05292320
2021-02-19,51245.00000000,1910.21000000,0.89730000,8.68180000,,0.05716860
2021-02-20,55706.07000000,2018.93000000,1.03422000,11.10030000,,0.05499860
2021-02-21,56505.22000000,1933.71000000,1.10501000,10.21160000,,0.05593310
2021-02-22,55860.12000000,1870.36000000,1.04575000,10.51360000,,0.05644500
2021-02-23,51906.36000000,1679.91000000,1.03373000,13.99300000,,0.05135800
2021-02-24,50874.99000000,1636.57000000,1.00462000,15.99860000,,0.05052200
2021-02-25,50206.97000000,1603.87000000,1.03456000,16.35000000,,0.05559980
2021-02-26,47330.24000000,1491.25000000,1.08109000,14.63000000,,0.05152100
2021-02-27,47423.08000000,1490.86000000,1.26544000,14.23480000,,0.05117440
2021-02-28,44629.17000000,1369.29000000,1.17107000,12.07000000,,0.04705570
2021-03-01,46336.37000000,1434.06000000,1.27322000,13.92870000,,0.04865630
2021-03-02,48974.75000000,1555.48000000,1.21651000,14.34060000,,0.05134650
2021-03-03,48704.75000000,1522.67000000,1.21828000,14.03880000,,0.05025300
2021-03-04,49574.89000000,1555.08000000,1.19549000,13.77260000,,0.04995510
2021-03-05,47289.81000000,1481.67000000,1.07561000,12.55910000,,0.04913090
2021-03-06,48657.72000000,1531.70000000,1.14157000,12.37160000,,0.04997250
2021-03-07,49551.44000000,1648.98000000,1.12775000,12.92700000,,0.05133390
2021-03-08,50598.49000000,1723.68000000,1.14326000,13.44250000,,0.05483140
2021-03-09,53840.62000000,1848.00000000,1.14111000,13.91970000,,0.05883200
2021-03-10,53467.80000000,1777.33000000,1.14496000,14.21700000,,0.05543650
2021-03-11,55992.60000000,1802.35000000,1.13210000,14.09160000,,0.05579820
2021-03-12,57104.17000000,1818.09000000,1.11499000,16.12190000,,0.05674800
2021-03-13,56694.32000000,1759.29000000,1.05009000,14.13730000,,0.05534300
2021-03-14,61356.31000000,1911.00000000,1.08749000,15.03260000,,0.06302580
2021-03-15,60379.99000000,1885.55000000,1.06141000,14.76630000,,0.05920350
2021-03-16,54272.86000000,1748.59000000,1.02222000,13.50150000,,0.05661400
2021-03-17,55506.23000000,1766.66000000,1.21050000,13.39030000,,0.05822280
2021-03-18,58712.33000000,1833.66000000,1.40562000,14.18470000,,0.05805970
2021-03-19,57779.84000000,1780.06000000,1.23594000,14.09990000,,0.05741800
2021-03-20,58367.74000000,1832.88000000,1.27208000,14.32510000,,0.05850890
2021-03-21,57790.00000000,1787.12000000,1.22350000,14.07530000,,0.05854470
2021-03-22,57563.63000000,1782.93000000,1.19226000,15.17000000,,0.05758030
2021-03-23,54684.83000000,1702.19000000,1.12932000,15.10000000,,0.05527720
2021-03-24,54350.54000000,1678.89000000,1.10801000,14.33170000,,0.05369290
2021-03-25,52122.86000000,1572.15000000,1.08951000,13.35000000,,0.05101070
2021-03-26,52407.19000000,1618.73000000,1.12249000,12.68900000,,0.05214900
2021-03-27,54760.97000000,1693.00000000,1.18076000,14.87830000,,0.05377820
2021-03-28,56052.05000000,1710.97000000,1.19403000,17.22260000,,0.05446610
2021-03-29,55371.60000000,1696.12000000,1.18529000,18.45290000,,0.05360640
2021-03-30,57181.33000000,1797.25000000,1.19343000,19.99900000,,0.05423170
2021-03-31,58608.63000000,1823.17000000,1.18661000,18.73940000,,0.05370380
2021-04-01,59119.02000000,1922.80000000,1.18779000,19.74600000,,0.05407270
2021-04-02,59869.79000000,1996.63000000,1.19151000,18.72400000,,0.06023260
2021-04-03,59221.53000000,2093.10000000,1.22176000,21.04100000,,0.05845890
2021-04-04,57492.42000000,2015.27000000,1.18100000,22.77230000,,0.05678130
2021-04-05,57467.12000000,2028.66000000,1.18363000,24.32630000,,0.05805300
2021-04-06,58608.70000000,2114.18000000,1.19950000,22.72680000,,0.05957470
2021-04-07,57922.75000000,2104.99000000,1.26827000,25.17430000,,0.06530430
2021-04-08,56540.62000000,1997.12000000,1.18975000,26.00140000,,0.06098980
2021-04-09,57985.71000000,2072.80000000,1.20534000,27.63720000,,0.06130390
2021-04-10,59229.50000000,2144.40000000,1.21174000,27.45690000,,0.06185070
2021-04-11,60268.58000000,2144.67000000,1.22330000,26.20440000,,0.06595250
2021-04-12,60368.96000000,2148.88000000,1.32612000,28.93800000,,0.07328000
2021-04-13,60493.43000000,2163.35000000,1.30995000,27.91540000,,0.07340070
2021-04-14,63749.19000000,2346.97000000,1.45890000,26.80340000,,0.11140340
2021-04-15,63056.61000000,2475.75000000,1.44316000,25.71450000,,0.12880160
2021-04-16,62937.91000000,2497.57000000,1.46415000,27.97530000,,0.26593520
2021-04-17,62372.27000000,2486.79000000,1.43600000,25.77180000,,0.31620060
2021-04-18,55014.46000000,2158.90000000,1.19781000,22.02090000,,0.27109430
2021-04-19,57030.90000000,2266.21000000,1.32083000,31.80230000,,0.34333340
2021-04-20,54764.12000000,2096.73000000,1.15774000,30.47870000,,0.38492090
2021-04-21,55204.60000000,2284.00000000,1.24115000,32.61120000,,0.31384340
2021-04-22,53497.09000000,2390.48000000,1.19195000,35.87590000,,0.27356810
2021-04-23,50298.76000000,2282.74000000,1.09456000,36.50640000,,0.21585820
2021-04-24,50109.93000000,2296.81000000,1.14479000,35.85340000,,0.24298280
2021-04-25,49615.54000000,2187.18000000,1.09212000,40.99430000,,0.27457700
2021-04-26,52398.99000000,2455.16000000,1.18200000,47.18900000,,0.26481000
2021-04-27,53460.30000000,2493.16000000,1.24290000,45.06500000,,0.26622000
2021-04-28,54774.05000000,2627.29000000,1.30160000,43.15900000,,0.26670000
2021-04-29,54265.10000000,2694.15000000,1.32020000,43.21400000,,0.32252000
2021-04-30,53679.03000000,2743.41000000,1.31380000,42.25500000,,0.31109000
2021-05-01,58178.67000000,2839.01000000,1.36600000,43.03300000,,0.34962000
2021-05-02,56450.19000000,2901.51000000,1.30840000,47.47200000,,0.37396000
2021-05-03,57925.80000000,3054.33000000,1.34500000,47.63900000,,0.38065000
2021-05-04,55452.17000000,3232.25000000,1.29900000,45.02000000,,0.41971000
2021-05-05,54795.19000000,3296.34000000,1.32410000,43.86500000,,0.63056000
2021-05-06,56797.09000000,3469.18000000,1.48970000,44.19400000,,0.63313000
2021-05-07,55705.67000000,3424.01000000,1.57640000,41.98500000,,0.57323000
2021-05-08,58099.98000000,3532.10000000,1.62820000,43.51400000,,0.71169000
2021-05-09,58632.78000000,3870.09000000,1.59430000,44.56900000,,0.54160000
2021-05-10,59356.76000000,4054.58000000,1.75600000,45.02500000,0.00002971,0.52846000
2021-05-11,55142.46000000,3855.52000000,1.62000000,40.40000000,0.00003547,0.47082000
2021-05-12,57756.94000000,4332.81000000,1.81300000,44.46900000,0.00002780,0.49187000
2021-05-13,50461.99000000,3941.08000000,1.63650000,42.61400000,0.00002124,0.43946000
2021-05-14,49157.93000000,3790.81000000,1.86200000,40.80600000,0.00002035,0.49773000
2021-05-15,49627.01000000,4025.63000000,2.14630000,42.14800000,0.00001726,0.52414000
2021-05-16,48383.46000000,3826.23000000,2.28060000,47.61400000,0.00001598,0.53391000
2021-05-17,42915.46000000,3240.13000000,2.07050000,44.02900000,0.00001579,0.47174000
2021-05-18,44779.83000000,3384.57000000,2.06180000,47.74300000,0.00001649,0.49177000
2021-05-19,40591.15000000,3097.23000000,1.82890000,51.97400000,0.00001404,0.43238000
2021-05-20,38341.04000000,2472.46000000,1.56040000,36.45100000,0.00000939,0.34141000
2021-05-21,40666.91000000,2790.86000000,1.75400000,45.44600000,0.00000992,0.39782000
2021-05-22,36951.85000000,2329.99000000,1.50790000,37.68000000,0.00000741,0.33940000
2021-05-23,37421.59000000,2317.80000000,1.48230000,30.24700000,0.00000893,0.34548000
2021-05-24,35251.37000000,2141.29000000,1.36930000,26.62500000,0.00000796,0.30549000
2021-05-25,38304.51000000,2582.48000000,1.53970000,29.19200000,0.00001002,0.34374000
2021-05-26,39503.98000000,2840.45000000,1.67730000,32.48700000,0.00000971,0.35436000
2021-05-27,37621.56000000,2679.26000000,1.65330000,31.85200000,0.00000873,0.33402000
2021-05-28,38237.18000000,2716.07000000,1.67310000,33.82400000,0.00000871,0.33778000
