Date,BTCUSDT Close,ETHUSDT Close,ETCUSDT Close,LTCUSDT Close
1609459200.0,29278.40000000,744.82000000,5.74310000,131.66000000
1609473600.0,29092.83000000,737.38000000,5.72140000,129.41000000
1609488000.0,29313.49000000,738.85000000,5.74400000,127.62000000
1609502400.0,29188.67000000,735.39000000,5.73900000,126.34000000
1609516800.0,29029.04000000,725.34000000,5.63500000,125.26000000
1609531200.0,29331.69000000,728.91000000,5.69380000,126.24000000
1609545600.0,29351.95000000,730.39000000,5.65380000,125.10000000
1609560000.0,29750.00000000,735.12000000,5.69490000,125.40000000
1609574400.0,29755.00000000,729.70000000,5.66790000,125.35000000
1609588800.0,31691.29000000,768.43000000,5.80390000,131.13000000
1609603200.0,33027.20000000,784.79000000,5.86660000,138.38000000
1609617600.0,32178.33000000,774.56000000,5.77630000,136.96000000
1609632000.0,32573.87000000,772.37000000,5.89000000,135.77000000
1609646400.0,34452.34000000,799.78000000,6.01900000,139.16000000
1609660800.0,34413.53000000,829.76000000,6.31300000,151.82000000
1609675200.0,33506.62000000,917.72000000,6.34900000,150.83000000
1609689600.0,32772.21000000,921.53000000,6.30320000,151.30000000
1609704000.0,33000.05000000,978.28000000,6.56780000,161.24000000
1609718400.0,33505.16000000,1021.41000000,6.93370000,163.90000000
1609732800.0,32068.84000000,1044.31000000,6.98210000,160.36000000
1609747200.0,30743.06000000,976.80000000,6.80890000,152.60000000
1609761600.0,31745.72000000,1040.01000000,7.02340000,152.78000000
1609776000.0,31665.51000000,1042.28000000,6.90980000,152.90000000
1609790400.0,31988.71000000,1041.43000000,7.03740000,155.34000000
1609804800.0,31200.00000000,1001.76000000,6.81700000,149.50000000
1609819200.0,30817.77000000,1003.45000000,6.80730000,150.65000000
1609833600.0,31776.66000000,1042.21000000,7.10290000,154.84000000
1609848000.0,32099.98000000,1052.82000000,6.98780000,154.27000000
1609862400.0,33697.75000000,1096.33000000,7.09640000,157.00000000
1609876800.0,33949.53000000,1099.56000000,7.27100000,158.43000000
1609891200.0,34117.59000000,1075.49000000,7.06140000,156.92000000
1609905600.0,34676.40000000,1106.59000000,7.12850000,160.87000000
1609920000.0,34918.53000000,1151.88000000,7.43160000,164.44000000
1609934400.0,34566.19000000,1143.89000000,7.42420000,164.53000000
1609948800.0,34816.72000000,1160.78000000,7.49200000,163.80000000
1609963200.0,36769.36000000,1208.42000000,7.57230000,168.92000000
1609977600.0,37454.48000000,1213.17000000,7.62560000,169.78000000
1609992000.0,36859.85000000,1186.21000000,7.26810000,165.22000000
1610006400.0,37822.09000000,1201.12000000,7.36970000,167.23000000
1610020800.0,38970.42000000,1249.83000000,7.45390000,170.82000000
1610035200.0,39062.00000000,1234.14000000,7.27560000,171.75000000
1610049600.0,39432.28000000,1224.87000000,7.21420000,169.35000000
1610064000.0,38347.10000000,1150.10000000,6.95020000,157.98000000
1610078400.0,38930.55000000,1208.42000000,6.99430000,163.90000000
1610092800.0,41286.67000000,1255.43000000,7.02990000,171.84000000
1610107200.0,40829.08000000,1216.77000000,6.80440000,172.60000000
1610121600.0,40365.09000000,1184.75000000,6.75330000,169.36000000
1610136000.0,40582.81000000,1216.93000000,6.95650000,172.19000000
1610150400.0,40211.59000000,1226.53000000,6.91010000,171.36000000
1610164800.0,39638.61000000,1196.49000000,6.79690000,167.11000000
1610179200.0,40565.77000000,1220.64000000,7.06410000,170.78000000
1610193600.0,40525.15000000,1219.95000000,7.24000000,170.32000000
1610208000.0,40665.91000000,1229.42000000,7.89290000,172.43000000
1610222400.0,40088.22000000,1276.00000000,7.76300000,177.26000000
1610236800.0,40316.64000000,1310.97000000,8.33390000,178.55000000
1610251200.0,40978.57000000,1344.70000000,9.36690000,184.50000000
1610265600.0,39181.76000000,1259.28000000,8.30030000,170.86000000
1610280000.0,39671.81000000,1303.18000000,8.67000000,173.39000000
1610294400.0,37456.77000000,1263.17000000,8.67440000,168.70000000
1610308800.0,38150.02000000,1254.25000000,8.83460000,170.07000000
1610323200.0,35438.23000000,1104.14000000,7.55830000,143.60000000
1610337600.0,34375.34000000,1071.84000000,7.44600000,141.68000000
1610352000.0,34198.56000000,1067.87000000,7.50590000,141.60000000
1610366400.0,31580.00000000,977.21000000,6.91580000,124.87000000
1610380800.0,32254.62000000,984.41000000,6.85170000,124.40000000
1610395200.0,35404.47000000,1087.01000000,7.22210000,138.87000000
1610409600.0,34984.96000000,1088.52000000,7.28610000,140.98000000
1610424000.0,36413.60000000,1139.05000000,7.58900000,144.82000000
1610438400.0,35410.99000000,1099.16000000,7.33060000,140.63000000
1610452800.0,33829.40000000,1053.34000000,7.10240000,136.21000000
1610467200.0,34685.11000000,1082.76000000,7.14420000,136.92000000
1610481600.0,34051.24000000,1050.16000000,7.05440000,133.42000000
1610496000.0,33818.50000000,1046.72000000,7.21860000,134.36000000
1610510400.0,34986.90000000,1076.35000000,7.30190000,137.93000000
1610524800.0,34385.48000000,1061.60000000,7.26510000,137.95000000
1610539200.0,34673.90000000,1071.50000000,7.27310000,138.67000000
1610553600.0,36002.25000000,1102.08000000,7.44990000,140.56000000
1610568000.0,37371.38000000,1129.89000000,7.59500000,147.38000000
1610582400.0,37045.13000000,1096.39000000,7.42700000,145.03000000
1610596800.0,38198.34000000,1148.00000000,7.60140000,148.00000000
1610611200.0,38365.86000000,1166.59000000,7.61940000,147.46000000
1610625600.0,39546.01000000,1212.80000000,7.90250000,152.95000000
1610640000.0,39876.98000000,1231.53000000,7.76530000,154.51000000
1610654400.0,39144.50000000,1231.62000000,7.78800000,152.50000000
1610668800.0,38700.00000000,1219.07000000,7.77210000,150.19000000
1610683200.0,38473.08000000,1240.97000000,7.78130000,150.51000000
1610697600.0,38108.88000000,1226.12000000,7.73400000,149.12000000
1610712000.0,35610.72000000,1141.52000000,7.35740000,137.82000000
1610726400.0,35217.26000000,1133.74000000,7.46720000,138.85000000
1610740800.0,36742.22000000,1168.53000000,7.56700000,143.65000000
1610755200.0,36532.92000000,1179.34000000,7.53520000,143.63000000
1610769600.0,36574.86000000,1182.90000000,7.60880000,143.09000000
1610784000.0,37680.00000000,1219.00000000,7.78460000,149.19000000
1610798400.0,37461.99000000,1276.27000000,7.90960000,149.95000000
1610812800.0,36376.39000000,1252.59000000,7.95000000,145.83000000
1610827200.0,35994.98000000,1227.83000000,7.77990000,143.52000000
1610841600.0,36177.00000000,1241.20000000,7.72330000,143.92000000
1610856000.0,34760.90000000,1182.60000000,7.41290000,139.02000000
1610870400.0,35267.17000000,1219.52000000,7.62570000,142.17000000
1610884800.0,35728.47000000,1241.17000000,7.62270000,142.31000000
1610899200.0,35633.91000000,1218.30000000,7.58990000,141.78000000
1610913600.0,35828.61000000,1232.45000000,7.68400000,142.80000000
1610928000.0,35106.25000000,1194.07000000,7.47850000,139.49000000
1610942400.0,36104.61000000,1219.62000000,7.64230000,142.67000000
1610956800.0,36442.08000000,1225.43000000,7.65730000,141.95000000
1610971200.0,36405.98000000,1240.36000000,7.80560000,151.28000000
1610985600.0,35956.14000000,1227.67000000,7.58790000,148.08000000
1611000000.0,36631.27000000,1258.45000000,7.70780000,151.96000000
1611014400.0,36465.30000000,1321.50000000,7.89590000,158.55000000
1611028800.0,37168.82000000,1375.00000000,8.09310000,164.27000000
1611043200.0,37266.49000000,1429.56000000,8.46330000,164.27000000
1611057600.0,37329.40000000,1413.95000000,8.33270000,161.74000000
1611072000.0,36279.82000000,1359.60000000,7.88350000,156.76000000
1611086400.0,35891.49000000,1365.36000000,7.81770000,151.86000000
1611100800.0,35062.49000000,1344.03000000,7.76810000,148.30000000
1611115200.0,35677.14000000,1369.92000000,7.88560000,151.40000000
1611129600.0,34426.17000000,1265.39000000,7.53310000,142.70000000
1611144000.0,34192.17000000,1273.29000000,7.55270000,141.23000000
1611158400.0,35197.12000000,1345.80000000,7.74000000,148.42000000
1611172800.0,35468.23000000,1376.99000000,7.90000000,149.69000000
1611187200.0,34571.09000000,1326.50000000,7.86350000,144.51000000
1611201600.0,34624.27000000,1309.62000000,7.84730000,143.25000000
1611216000.0,32208.62000000,1236.31000000,7.39710000,133.92000000
1611230400.0,31384.09000000,1188.68000000,7.36390000,131.21000000
1611244800.0,32468.66000000,1231.18000000,7.51650000,134.77000000
1611259200.0,30850.13000000,1110.96000000,7.13460000,129.72000000
1611273600.0,30943.40000000,1160.73000000,7.08820000,134.90000000
1611288000.0,30842.45000000,1143.58000000,7.08580000,135.14000000
1611302400.0,31710.88000000,1197.57000000,7.24060000,139.47000000
1611316800.0,32458.42000000,1232.88000000,7.33970000,140.27000000
1611331200.0,33589.52000000,1267.61000000,7.36500000,140.43000000
1611345600.0,32945.17000000,1232.62000000,7.42920000,137.66000000
1611360000.0,32365.01000000,1231.67000000,7.45090000,137.09000000
1611374400.0,32931.18000000,1259.62000000,7.53630000,141.01000000
1611388800.0,31645.49000000,1219.07000000,7.24870000,136.86000000
1611403200.0,31877.10000000,1230.26000000,7.43080000,138.79000000
1611417600.0,32348.79000000,1257.83000000,7.54060000,139.65000000
1611432000.0,32078.00000000,1233.60000000,7.44880000,137.67000000
1611446400.0,32480.05000000,1293.33000000,7.65440000,140.68000000
1611460800.0,32801.15000000,1314.74000000,7.61060000,141.52000000
1611475200.0,32833.37000000,1342.97000000,7.67880000,141.56000000
1611489600.0,31957.05000000,1320.50000000,7.49110000,138.01000000
1611504000.0,31306.29000000,1326.37000000,7.42590000,135.92000000
1611518400.0,32259.90000000,1392.51000000,7.62940000,141.01000000
1611532800.0,33568.18000000,1426.91000000,7.89170000,146.98000000
1611547200.0,33346.95000000,1424.61000000,7.84000000,144.17000000
1611561600.0,33185.26000000,1411.18000000,7.74650000,142.08000000
1611576000.0,34458.31000000,1434.87000000,7.79200000,145.52000000
1611590400.0,33411.54000000,1382.87000000,7.53410000,141.24000000
1611604800.0,32254.20000000,1317.88000000,7.49760000,137.07000000
1611619200.0,31518.66000000,1312.80000000,7.31970000,134.48000000
1611633600.0,31643.61000000,1317.41000000,7.36000000,135.04000000
1611648000.0,31796.95000000,1313.46000000,7.32040000,134.95000000
1611662400.0,31750.23000000,1279.95000000,7.22280000,131.00000000
1611676800.0,32208.33000000,1341.94000000,7.36590000,134.23000000
1611691200.0,32467.77000000,1365.97000000,7.43420000,134.67000000
1611705600.0,31800.86000000,1309.00000000,7.25620000,131.54000000
1611720000.0,31743.33000000,1293.36000000,7.20430000,130.51000000
1611734400.0,30639.05000000,1249.02000000,6.99180000,124.04000000
1611748800.0,30322.61000000,1281.08000000,6.86150000,124.96000000
1611763200.0,30740.33000000,1268.77000000,6.96730000,123.07000000
1611777600.0,30366.15000000,1239.03000000,6.87130000,122.44000000
1611792000.0,31404.25000000,1287.59000000,7.10450000,126.92000000
1611806400.0,31170.53000000,1284.88000000,7.12420000,128.45000000
1611820800.0,31437.37000000,1302.55000000,7.33140000,129.54000000
1611835200.0,31926.49000000,1350.43000000,8.28770000,130.92000000
1611849600.0,32564.71000000,1332.24000000,7.55050000,130.22000000
1611864000.0,33364.86000000,1329.69000000,7.65330000,133.27000000
1611878400.0,33733.58000000,1320.82000000,7.56120000,134.72000000
1611892800.0,32266.35000000,1315.90000000,7.65480000,132.87000000
1611907200.0,37025.32000000,1416.96000000,7.82060000,141.68000000
1611921600.0,37129.40000000,1396.18000000,7.81100000,142.77000000
1611936000.0,34318.57000000,1348.30000000,7.55840000,135.42000000
1611950400.0,34252.20000000,1379.50000000,7.61320000,134.65000000
