Date,BTCUSDT Close,LTCUSDT Close
2021-01-01,29278.40000000,131.66000000
2021-01-02,29351.95000000,125.10000000
2021-01-03,32573.87000000,135.77000000
2021-01-04,33505.16000000,163.90000000
2021-01-05,31200.00000000,149.50000000
2021-01-06,34117.59000000,156.92000000
2021-01-07,37454.48000000,169.78000000
2021-01-08,38347.10000000,157.98000000
2021-01-09,40211.59000000,171.36000000
2021-01-10,40316.64000000,178.55000000
2021-01-11,35438.23000000,143.60000000
2021-01-12,34984.96000000,140.98000000
2021-01-13,33818.50000000,134.36000000
2021-01-14,37045.13000000,145.03000000
2021-01-15,38700.00000000,150.19000000
2021-01-16,36532.92000000,143.63000000
2021-01-17,36177.00000000,143.92000000
2021-01-18,35106.25000000,139.49000000
2021-01-19,36465.30000000,158.55000000
2021-01-20,35062.49000000,148.30000000
2021-01-21,34571.09000000,144.51000000
2021-01-22,30943.40000000,134.90000000
2021-01-23,32365.01000000,137.09000000
2021-01-24,32480.05000000,140.68000000
2021-01-25,33568.18000000,146.98000000
2021-01-26,31518.66000000,134.48000000
2021-01-27,31800.86000000,131.54000000
2021-01-28,31404.25000000,126.92000000
2021-01-29,33733.58000000,134.72000000
2021-01-30,33273.36000000,130.21000000
2021-01-31,33930.21000000,131.77000000
2021-02-01,33573.97000000,130.36000000
2021-02-02,33550.32000000,133.26000000
2021-02-03,36403.47000000,153.45000000
2021-02-04,37498.78000000,149.89000000
2021-02-05,37366.02000000,148.05000000
2021-02-06,39384.74000000,161.73000000
2021-02-07,38841.46000000,152.16000000
2021-02-08,38076.06000000,148.29000000
2021-02-09,46599.51000000,172.25000000
2021-02-10,46221.07000000,188.65000000
2021-02-11,44582.07000000,179.75000000
2021-02-12,47587.31000000,182.21000000
2021-02-13,47829.22000000,206.15000000
2021-02-14,47267.21000000,215.37000000
2021-02-15,47120.30000000,199.13000000
2021-02-16,49624.03000000,217.57000000
2021-02-17,49657.38000000,208.91000000
2021-02-18,52032.64000000,232.35000000
2021-02-19,51245.00000000,225.05000000
2021-02-20,55706.07000000,243.20000000
2021-02-21,56505.22000000,227.30000000
2021-02-22,55860.12000000,218.94000000
2021-02-23,51906.36000000,195.82000000
2021-02-24,50874.99000000,183.89000000
2021-02-25,50206.97000000,181.33000000
2021-02-26,47330.24000000,176.51000000
